,V1,N05B
768,NA,0.402228223
769,NA,0.087406865
770,NA,0.067484862
771,NA,0.052570478
772,NA,0.032703334
773,NA,0.050444327
774,NA,0.050444327
775,NA,0.050444327
776,NA,0.050444327
777,NA,0.050444327
778,NA,0.050444327
779,NA,5.35E-06
780,NA,0.04426294
781,NA,0.087953882
782,NA,0.705834806
783,NA,1.075326849
784,NA,1.270879071
785,NA,1.188817693
786,NA,1.099670845
787,NA,0.650363748
788,NA,0.658676355
789,NA,0.554090763
790,NA,0.460387977
791,NA,0.470369854
792,NA,0.292776028
793,NA,0.063622176
794,NA,0.049121242
795,NA,0.03826528
796,NA,0.023804277
797,NA,0.030468008
798,NA,0.030468008
799,NA,0.030468008
800,NA,0.030468008
801,NA,0.030468008
802,NA,0.030468008
803,NA,3.23E-06
804,NA,0.026734495
805,NA,0.053123507
806,NA,0.426319108
807,NA,0.649489624
808,NA,0.767601749
809,NA,0.718037272
810,NA,0.664193222
811,NA,0.392814991
812,NA,0.397835745
813,NA,0.334666806
814,NA,0.278071002
815,NA,0.284099983
816,NA,0.176834599
817,NA,0.038427333
818,NA,0.029668874
819,NA,0.023111952
820,NA,0.014377611
821,NA,0.054424656
822,NA,0.054424656
823,NA,0.054424656
824,NA,0.054424656
825,NA,0.054424656
826,NA,0.054424656
827,NA,5.78E-06
828,NA,0.047755523
829,NA,0.094893916
830,NA,0.761528965
831,NA,1.160175915
832,NA,1.371158258
833,NA,1.282621797
834,NA,1.186440784
835,NA,0.701680942
836,NA,0.710649459
837,NA,0.597811502
838,NA,0.496715062
839,NA,0.507484563
840,NA,0.31587763
841,NA,0.068642308
842,NA,0.052997172
843,NA,0.041284616
844,NA,0.025682563
845,NA,0.065692193
846,NA,0.065692193
847,NA,0.065692193
848,NA,0.065692193
849,NA,0.065692193
850,NA,0.065692193
851,NA,6.97E-06
852,NA,0.05764235
853,NA,0.114539804
854,NA,0.919188316
855,NA,1.40036715
856,NA,1.65502917
857,NA,1.548163004
858,NA,1.432069635
859,NA,0.846949956
860,NA,0.857775225
861,NA,0.721576425
862,NA,0.599549988
863,NA,0.612549098
864,NA,0.38127378
865,NA,0.082853325
866,NA,0.063969177
867,NA,0.049831771
868,NA,0.030999624
869,NA,0.072151834
870,NA,0.072151834
871,NA,0.072151834
872,NA,0.072151834
873,NA,0.072151834
874,NA,0.072151834
875,NA,7.66E-06
876,NA,0.063310434
877,NA,0.125802726
878,NA,1.009573888
879,NA,1.538067971
880,NA,1.817771402
881,NA,1.700396878
882,NA,1.572887822
883,NA,0.93023219
884,NA,0.942121929
885,NA,0.792530436
886,NA,0.658504903
887,NA,0.67278224
888,NA,0.418765171
889,NA,0.091000454
890,NA,0.07025939
891,NA,0.054731826
892,NA,0.034047877
893,NA,0.054115813
894,NA,0.054115813
895,NA,0.054115813
896,NA,0.054115813
897,NA,0.054115813
898,NA,0.054115813
899,NA,5.74E-06
900,NA,0.047484526
901,NA,0.094355423
902,NA,0.757207528
903,NA,1.153592283
904,NA,1.363377368
905,NA,1.275343323
906,NA,1.179708107
907,NA,0.697699124
908,NA,0.706616748
909,NA,0.59441911
910,NA,0.493896361
911,NA,0.504604748
912,NA,0.314085124
913,NA,0.068252784
914,NA,0.05269643
915,NA,0.041050339
916,NA,0.025536822
917,NA,0.067948192
918,NA,0.067948192
919,NA,0.067948192
920,NA,0.067948192
921,NA,0.067948192
922,NA,0.067948192
923,NA,7.21E-06
924,NA,0.059621902
925,NA,0.118473327
926,NA,0.95075505
927,NA,1.448458511
928,NA,1.711866125
929,NA,1.601329965
930,NA,1.481249721
931,NA,0.876035883
932,NA,0.887232913
933,NA,0.746356778
934,NA,0.620139713
935,NA,0.633585238
936,NA,0.394367471
937,NA,0.085698671
938,NA,0.066166004
939,NA,0.051543092
940,NA,0.032064212
941,NA,0.049458493
942,NA,0.049458493
943,NA,0.049458493
944,NA,0.049458493
945,NA,0.049458493
