"","V1","R06"
"143",NA,0.112509090942694
"144",NA,0.107118085109049
"145",NA,0.0288980565505661
"146",NA,0.0289066496768486
"147",NA,0.0182024875139169
"148",NA,0.0267271773153504
"149",NA,0.023987262837562
"150",NA,0.023987262837562
"151",NA,0.023987262837562
"152",NA,0.023987262837562
"153",NA,0.023987262837562
"154",NA,0.023987262837562
"155",NA,0.0239872628380429
"156",NA,0.0217389650151735
"157",NA,0.0233627232666156
"158",NA,0.0968014652285158
"159",NA,0.103891686141352
"160",NA,0.100088897540445
"161",NA,0.103261474585611
"162",NA,0.101317400936344
"163",NA,0.0968883875166089
"164",NA,0.0979974610784308
"165",NA,0.0966830337050689
"166",NA,0.0982748003380133
"167",NA,0.100975314535274
"168",NA,0.0961369632060381
"169",NA,0.0259355961834038
"170",NA,0.0259433083924524
"171",NA,0.0163364745607832
"172",NA,0.023987262837562
"173",NA,0.0235646974127822
"174",NA,0.0235646974127822
"175",NA,0.0235646974127822
"176",NA,0.0235646974127822
"177",NA,0.0235646974127822
"178",NA,0.0235646974127822
"179",NA,0.0235646974132546
"180",NA,0.0213560061487068
"181",NA,0.0229511598819966
"182",NA,0.095096187200314
"183",NA,0.102061505066391
"184",NA,0.0983257073093905
"185",NA,0.101442395469867
"186",NA,0.099532569092287
"187",NA,0.0951815782443532
"188",NA,0.0962711140980198
"189",NA,0.0949798419952333
"190",NA,0.0965435676821159
"191",NA,0.0991965089680104
"192",NA,0.0944433912062105
"193",NA,0.0254787084470925
"194",NA,0.0254862847960009
"195",NA,0.0160486872730493
"196",NA,0.0235646974127822
"197",NA,0.023538863757228
"198",NA,0.023538863757228
"199",NA,0.023538863757228
"200",NA,0.023538863757228
"201",NA,0.023538863757228
"202",NA,0.023538863757228
"203",NA,0.0235388637576999
"204",NA,0.0213325938511842
"205",NA,0.0229259988392481
"206",NA,0.0949919345506146
"207",NA,0.101949616433958
"208",NA,0.0982179141809553
"209",NA,0.101331185558819
"210",NA,0.0994234528977816
"211",NA,0.0950772319816198
"212",NA,0.0961655733920281
"213",NA,0.0948757168931913
"214",NA,0.0964377282889854
"215",NA,0.0990877611916241
"216",NA,0.0943398542078332
"217",NA,0.0254507764874132
"218",NA,0.0254583445304739
"219",NA,0.0160310933166387
"220",NA,0.023538863757228
"221",NA,0.0227422896173936
"222",NA,0.0227422896173936
"223",NA,0.0227422896173936
"224",NA,0.0227422896173936
"225",NA,0.0227422896173936
"226",NA,0.0227422896173936
"227",NA,0.0227422896178496
"228",NA,0.0206106816649078
"229",NA,0.022150164542675
"230",NA,0.0917773308494217
"231",NA,0.0984995591646307
"232",NA,0.09489414072647
"233",NA,0.0979020564892337
"234",NA,0.0960588830405346
"235",NA,0.0918597417465469
"236",NA,0.0929112528055932
"237",NA,0.0916650460912858
"238",NA,0.0931741977612729
"239",NA,0.0957345514125372
"240",NA,0.0911473174315145
"241",NA,0.0245895016783285
"242",NA,0.0245968136127064
"243",NA,0.015488588185507
"244",NA,0.0227422896173936
"245",NA,0.0234721577485337
"246",NA,0.0234721577485337
"247",NA,0.0234721577485337
"248",NA,0.0234721577485337
"249",NA,0.0234721577485337
"250",NA,0.0234721577485337
"251",NA,0.0234721577490042
"252",NA,0.0212721401179205
"253",NA,0.0228610296082066
"254",NA,0.0947227400441432
"255",NA,0.101660704782556
"256",NA,0.0979395776773387
"257",NA,0.101044026458252
"258",NA,0.0991417000578051
"259",NA,0.0948077957535754
"260",NA,0.0958930529492003
"261",NA,0.0946068517321016
"262",NA,0.0961644365953823
"263",NA,0.0988069596572884
"264",NA,0.094072507610312
"265",NA,0.0253786523723686
"266",NA,0.0253861989686019
"267",NA,0.0159856633306722
"268",NA,0.0234721577485337
"269",NA,0.0241841351908682
"270",NA,0.0241841351908682
"271",NA,0.0241841351908682
"272",NA,0.0241841351908682
"273",NA,0.0241841351908682
"274",NA,0.0241841351908682
"275",NA,0.024184135191353
"276",NA,0.0219173847552647
"277",NA,0.0235544697922732
"278",NA,0.0975959507182559
"279",NA,0.104744363701026
"280",NA,0.100910364205151
"281",NA,0.104108979765556
"282",NA,0.102148950383577
"283",NA,0.0976835864097718
"284",NA,0.0988017625492235
"285",NA,0.0974765471834176
"286",NA,0.0990813780348627
"287",NA,0.101804056352672
"288",NA,0.0969259948814841
"289",NA,0.0261484592303301
"290",NA,0.0261562347363357
"291",NA,0.0164705540601111
"292",NA,0.0241841351908682
"293",NA,0.0243920742545804
"294",NA,0.0243920742545804
"295",NA,0.0243920742545804
"296",NA,0.0243920742545804
"297",NA,0.0243920742545804
"298",NA,0.0243920742545804
"299",NA,0.0243920742550695
"300",NA,0.0221058339360629
"301",NA,0.023756994892145
"302",NA,0.0984350963173975
"303",NA,0.105644972498704
"304",NA,0.101778007661743
"305",NA,0.105004125430498
"306",NA,0.103027243402298
"307",NA,0.0985234855146104
"308",NA,0.0996512759114117
"309",NA,0.0983146661318628
"310",NA,0.0999332955757335
"311",NA,0.102679383917334
"312",NA,0.0977593800931515
"313",NA,0.0263732878664157
"314",NA,0.026381130227466
"315",NA,0.0166121705191266
"316",NA,0.0243920742545804
"317",NA,0.0259404607457008
"318",NA,0.0259404607457008
"319",NA,0.0259404607457008
"320",NA,0.0259404607457008
"321",NA,0.0259404607457008
"322",NA,0.0259404607457008
"323",NA,0.0259404607462208
"324",NA,0.0235090919896547
"325",NA,0.025265067128097
"326",NA,0.104683665905995
"327",NA,0.112351218411392
"328",NA,0.10823878219497
"329",NA,0.111669690959349
"330",NA,0.109567318274017
"331",NA,0.10477766596834
"332",NA,0.105977047464651
"333",NA,0.104555590922791
"334",NA,0.106276969478479
"335",NA,0.109197376988149
"336",NA,0.103965055835882
"337",NA,0.0280474399796218
"338",NA,0.0280557801665553
"339",NA,0.0176666958600854
"340",NA,0.0259404607457008
"341",NA,0.0254834873140833
"342",NA,0.0254834873140833
"343",NA,0.0254834873140833
"344",NA,0.0254834873140833
"345",NA,0.0254834873140833
"346",NA,0.0254834873140833
"347",NA,0.0254834873145942
"348",NA,0.0230949501382034
"349",NA,0.0248199915938282
"350",NA,0.102839533123917
"351",NA,0.110372012169562
"352",NA,0.106332021624346
"353",NA,0.109702490669978
"354",NA,0.107637153890445
"355",NA,0.102931877258424
"356",NA,0.104110130160161
"357",NA,0.102713714340599
"358",NA,0.10440476867524
"359",NA,0.107273729579759
"360",NA,0.102133582262634
"361",NA,0.0275533494921313
"362",NA,0.0275615427563142
"363",NA,0.0173554750721561
"364",NA,0.0254834873140833
"365",NA,0.0254555501153975
"366",NA,0.0254555501153975
"367",NA,0.0254555501153975
"368",NA,0.0254555501153975
"369",NA,0.0254555501153975
"370",NA,0.0254555501153975
"371",NA,0.0254555501159079
"372",NA,0.0230696314601631
"373",NA,0.024792781776428
"374",NA,0.102726791549963
"375",NA,0.110251012841827
"376",NA,0.106215451283004
"377",NA,0.109582225329508
"378",NA,0.107519152750446
"379",NA,0.102819034448858
"380",NA,0.103995995648049
"381",NA,0.102601110700057
"382",NA,0.104290311154953
"383",NA,0.107156126856863
"384",NA,0.102021614612956
"385",NA,0.0275231431318426
"386",NA,0.0275313274138621
"387",NA,0.0173364485021501
"388",NA,0.0254555501153975
"389",NA,0.0245941137628906
"390",NA,0.0245941137628906
"391",NA,0.0245941137628906
"392",NA,0.0245941137628906
"393",NA,0.0245941137628906
"394",NA,0.0245941137628906
"395",NA,0.0245941137633837
"396",NA,0.0222889365198208
"397",NA,0.023953774039209
"398",NA,0.0992504340477137
"399",NA,0.106520029620797
"400",NA,0.102621034720867
"401",NA,0.105873874417448
"402",NA,0.103880617878872
"403",NA,0.0993395553724921
"404",NA,0.100476687255174
"405",NA,0.0991290063391631
"406",NA,0.100761042887881
"407",NA,0.103529877074403
"408",NA,0.0985691208671662
"409",NA,0.0265917377636012
"410",NA,0.0265996450829143
"411",NA,0.0167497690984282
"412",NA,0.0245941137628906
"413",NA,0.0253834124725262
"414",NA,0.0253834124725262
"415",NA,0.0253834124725262
"416",NA,0.0253834124725262
"417",NA,0.0253834124725262
"418",NA,0.0253834124725262
"419",NA,0.0253834124730351
"420",NA,0.0230042551933803
"421",NA,0.0247225223308663
"422",NA,0.102435677487664
"423",NA,0.109938576137276
"424",NA,0.105914450823091
"425",NA,0.109271683879804
"426",NA,0.107214457773996
"427",NA,0.102527658982454
"428",NA,0.103701284830169
"429",NA,0.102310352800568
"430",NA,0.103994766286077
"431",NA,0.106852460647504
"432",NA,0.101732498928292
"433",NA,0.0274451462053986
"434",NA,0.0274533072942515
"435",NA,0.0172873193132292
"436",NA,0.0253834124725262
"437",NA,0.0261533637178922
"438",NA,0.0261533637178922
"439",NA,0.0261533637178922
"440",NA,0.0261533637178922
"441",NA,0.0261533637178922
"442",NA,0.0261533637178922
"443",NA,0.0261533637184165
"444",NA,0.0237020398176515
"445",NA,0.0254724268946378
"446",NA,0.105542843537024
"447",NA,0.113273326486634
"448",NA,0.109127137982541
"449",NA,0.112586205486288
"450",NA,0.110466577849407
"451",NA,0.105637615092707
"452",NA,0.106846840357325
"453",NA,0.105413717394981
"454",NA,0.10714922394224
"455",NA,0.110093600318343
"456",NA,0.104818335567823
"457",NA,0.0282776357110145
"458",NA,0.0282860443489522
"459",NA,0.0178116929784591
"460",NA,0.0261533637178922
"461",NA,0.0263782345235466
"462",NA,0.0263782345235466
"463",NA,0.0263782345235466
