iter	Passed	Remaining
584	2537	1800
585	2541	1795
586	2546	1791
587	2550	1786
588	2554	1782
589	2559	1778
590	2563	1773
591	2567	1769
592	2571	1764
593	2575	1760
594	2579	1756
595	2583	1751
596	2587	1746
597	2592	1742
598	2596	1738
599	2600	1733
600	2604	1729
601	2609	1725
602	2613	1720
603	2618	1716
604	2622	1712
605	2626	1707
606	2630	1703
607	2635	1698
608	2639	1694
609	2643	1690
610	2647	1685
611	2651	1681
612	2656	1677
613	2661	1672
614	2665	1668
615	2670	1664
616	2675	1660
617	2679	1656
618	2683	1651
619	2688	1647
620	2692	1643
621	2696	1638
622	2700	1634
623	2705	1630
624	2709	1625
625	2713	1621
626	2717	1616
627	2722	1612
628	2726	1607
629	2730	1603
630	2734	1599
631	2738	1594
632	2743	1590
633	2747	1586
634	2751	1581
635	2756	1577
636	2760	1572
637	2764	1568
638	2769	1564
639	2773	1560
640	2777	1555
641	2781	1551
642	2786	1546
643	2790	1542
644	2794	1537
645	2798	1533
646	2803	1529
647	2807	1525
648	2811	1520
649	2815	1516
650	2820	1511
651	2824	1507
652	2828	1503
653	2833	1499
654	2837	1494
655	2841	1490
656	2845	1485
657	2850	1481
658	2854	1476
659	2858	1472
660	2862	1468
661	2867	1463
662	2871	1459
663	2875	1455
664	2879	1450
665	2885	1446
666	2889	1442
667	2893	1437
668	2897	1433
669	2902	1429
670	2906	1425
671	2910	1420
672	2915	1416
673	2919	1411
674	2923	1407
675	2927	1403
676	2934	1399
677	2939	1395
678	2944	1391
679	2949	1387
680	2953	1383
681	2957	1379
682	2961	1374
683	2966	1370
684	2970	1365
685	2974	1361
686	2979	1357
687	2983	1352
688	2987	1348
689	2991	1343
690	2996	1339
691	3000	1335
692	3004	1330
693	3008	1326
694	3013	1322
695	3017	1318
696	3021	1313
697	3025	1309
698	3030	1304
699	3034	1300
700	3038	1296
701	3043	1291
702	3047	1287
703	3052	1283
704	3056	1278
705	3060	1274
706	3064	1270
707	3069	1265
708	3073	1261
709	3077	1257
710	3081	1252
711	3085	1248
712	3090	1243
713	3094	1239
714	3098	1235
715	3102	1230
716	3107	1226
717	3111	1222
718	3115	1217
719	3120	1213
720	3124	1208
721	3128	1204
722	3132	1200
723	3136	1195
724	3141	1191
725	3145	1187
726	3149	1182
727	3154	1178
728	3158	1174
729	3162	1169
730	3167	1165
731	3171	1160
732	3176	1156
733	3180	1152
734	3183	1147
735	3188	1143
736	3193	1139
737	3197	1135
738	3202	1130
739	3207	1126
740	3212	1122
741	3216	1118
742	3221	1114
743	3226	1110
744	3230	1105
745	3235	1101
746	3241	1097
747	3245	1093
748	3250	1089
749	3255	1085
750	3259	1080
751	3264	1076
752	3268	1072
753	3273	1067
754	3277	1063
755	3281	1059
756	3286	1054
757	3290	1050
758	3294	1046
759	3298	1041
760	3303	1037
761	3307	1033
762	3312	1028
763	3316	1024
764	3321	1020
765	3325	1015
