"","V1","M01AE"
"83",NA,0.0235432553870149
"84",NA,0.0501063112513513
"85",NA,0.0662294568993353
"86",NA,0.279694795182158
"87",NA,0.252840300815067
"88",NA,0.27713249317367
"89",NA,0.27027187673352
"90",NA,0.242030431199212
"91",NA,0.257991935250463
"92",NA,0.223905930257447
"93",NA,0.260392126927554
"94",NA,0.24903747938557
"95",NA,0.241454283979258
"96",NA,0.240116750254492
"97",NA,0.0686570496304921
"98",NA,0.0541097670113684
"99",NA,0.0464102452690292
"100",NA,0.0538982585500716
"101",NA,0.059895417061471
"102",NA,0.059895417061471
"103",NA,0.059895417061471
"104",NA,0.059895417061471
"105",NA,0.059895417061471
"106",NA,0.059895417061471
"107",NA,0.0261628694196115
"108",NA,0.0556815468726786
"109",NA,0.0735986848082522
"110",NA,0.310815912387874
"111",NA,0.28097336861445
"112",NA,0.307968507822971
"113",NA,0.300344523411678
"114",NA,0.268960705006399
"115",NA,0.286698215786824
"116",NA,0.248819524713356
"117",NA,0.289365472306685
"118",NA,0.276747414350669
"119",NA,0.268320450961903
"120",NA,0.266834092358978
"121",NA,0.0762963912462617
"122",NA,0.0601304596740191
"123",NA,0.0515742265351905
"124",NA,0.059895417061471
"125",NA,0.0649960355597951
"126",NA,0.0649960355597951
"127",NA,0.0649960355597951
"128",NA,0.0649960355597951
"129",NA,0.0649960355597951
"130",NA,0.0649960355597951
"131",NA,0.0283908665231954
"132",NA,0.0604233174776417
"133",NA,0.0798662563788788
"134",NA,0.337284605154
"135",NA,0.304900707830078
"136",NA,0.334194719192214
"137",NA,0.325921485842906
"138",NA,0.291865060875062
"139",NA,0.3111130757982
"140",NA,0.270008682962219
"141",NA,0.314007472533664
"142",NA,0.300314876608286
"143",NA,0.29117028360019
"144",NA,0.289557348565256
"145",NA,0.0827936961092809
"146",NA,0.0652510941060536
"147",NA,0.0559662228983208
"148",NA,0.0649960355597951
"149",NA,0.0547034188289629
"150",NA,0.0547034188289629
"151",NA,0.0547034188289629
"152",NA,0.0547034188289629
"153",NA,0.0547034188289629
"154",NA,0.0547034188289629
"155",NA,0.0238949568071231
"156",NA,0.0508548254450682
"157",NA,0.067218827046394
"158",NA,0.283873021814176
"159",NA,0.256617361013219
"160",NA,0.281272442802771
"161",NA,0.274309338898371
