"","V1","N02BE"
"112",NA,12.2276834910314
"113",NA,11.2695707436126
"114",NA,5.2034304343654
"115",NA,6.11685955590755
"116",NA,6.29107830738186
"117",NA,5.20426144450692
"118",NA,5.7203776636909
"119",NA,31.2895811251586
"120",NA,3.31617827696351
"121",NA,12.3079812066157
"122",NA,4.70968203771855
"123",NA,0.158297460260159
"124",NA,0.214270494284208
"125",NA,0.104947693544937
"126",NA,0.104947693544937
"127",NA,0.104947693544937
"128",NA,0.104947693544937
"129",NA,0.104947693544937
"130",NA,0.104947693544937
"131",NA,8.17440982953637e-08
"132",NA,0.0846284383653321
"133",NA,0.10512239478026
"134",NA,1.55377098409113
"135",NA,1.64634081312351
"136",NA,5.98900555145558
"137",NA,5.5197308464454
"138",NA,2.54859179016897
"139",NA,2.99598087116616
"140",NA,3.08131159390793
"141",NA,2.54899881120075
"142",NA,2.8017877310445
"143",NA,15.3253455733247
"144",NA,1.6242332511238
"145",NA,6.0283346250905
"146",NA,2.30675842159108
"147",NA,0.0775326225097966
"148",NA,0.104947693544937
"149",NA,0.0794296412261043
"150",NA,0.0794296412261043
"151",NA,0.0794296412261043
"152",NA,0.0794296412261043
"153",NA,0.0794296412261043
"154",NA,0.0794296412261043
"155",NA,6.18680047234386e-08
"156",NA,0.0640510169383146
"157",NA,0.0795618638217111
"158",NA,1.17597126382816
"159",NA,1.2460327207315
"160",NA,4.53277767414274
"161",NA,4.17760720591816
"162",NA,1.92890119532009
"163",NA,2.2675075333133
"164",NA,2.33209007404384
"165",NA,1.92920924910798
"166",NA,2.12053249339182
"167",NA,11.5989847841108
"168",NA,1.22930061677851
"169",NA,4.56254387579098
"170",NA,1.7458696578579
"171",NA,0.058680550103135
"172",NA,0.0794296412261043
"173",NA,0.0442570587708777
"174",NA,0.0442570587708777
"175",NA,0.0442570587708777
"176",NA,0.0442570587708777
"177",NA,0.0442570587708777
"178",NA,0.0442570587708777
"179",NA,3.44719663694301e-08
"180",NA,0.0356883095179065
"181",NA,0.044330731307909
"182",NA,0.655234349957024
"183",NA,0.694271590562429
"184",NA,2.52559881705633
"185",NA,2.3277029177012
"186",NA,1.07475612689085
"187",NA,1.26342273005602
"188",NA,1.29940719702028
"189",NA,1.07492777005057
"190",NA,1.18153034228681
"191",NA,6.46278824062224
"192",NA,0.684948701819926
"193",NA,2.54218411840475
"194",NA,0.972773574970091
"195",NA,0.0326959622948464
"196",NA,0.0442570587708777
"197",NA,0.0806652771941376
"198",NA,0.0806652771941376
"199",NA,0.0806652771941376
"200",NA,0.0806652771941376
"201",NA,0.0806652771941376
"202",NA,0.0806652771941376
"203",NA,6.28304455796062e-08
