"","V1","N02BA"
"387",NA,0.0234937787931407
"388",NA,0.00799156266301481
"389",NA,0.0309490803472942
"390",NA,0.0309490803472942
"391",NA,0.0309490803472942
"392",NA,0.0309490803472942
"393",NA,0.0309490803472942
"394",NA,0.0309490803472942
"395",NA,0.0309490803511965
"396",NA,0.0329353006112062
"397",NA,0.0368711264994716
"398",NA,0.206301906902691
"399",NA,0.219729250218345
"400",NA,0.209803759196603
"401",NA,0.198937671572906
"402",NA,0.19835719873121
"403",NA,0.175634891834175
"404",NA,0.170229924754545
"405",NA,0.16357514859318
"406",NA,0.175752825492968
"407",NA,0.195698810624748
"408",NA,0.162971134627617
"409",NA,0.0304432750813045
"410",NA,0.0288193634453728
"411",NA,0.0225311533241112
"412",NA,0.0076641193077122
"413",NA,0.0318780020452178
"414",NA,0.0318780020452178
"415",NA,0.0318780020452178
"416",NA,0.0318780020452178
"417",NA,0.0318780020452178
"418",NA,0.0318780020452178
"419",NA,0.0318780020492373
"420",NA,0.0339238377509879
"421",NA,0.0379777955522481
"422",NA,0.21249395899259
"423",NA,0.226324317532329
"424",NA,0.216100917691676
"425",NA,0.204908689696378
"426",NA,0.204310794242712
"427",NA,0.180906488279253
"428",NA,0.175339293723379
"429",NA,0.16848477766985
"430",NA,0.181027961659851
"431",NA,0.201572615901261
"432",NA,0.167862634516856
"433",NA,0.0313570152784782
"434",NA,0.0296843627191588
"435",NA,0.0232074150083728
"436",NA,0.0078941541468906
"437",NA,0.0333302885031265
"438",NA,0.0333302885031265
"439",NA,0.0333302885031265
"440",NA,0.0333302885031265
"441",NA,0.0333302885031265
"442",NA,0.0333302885031265
"443",NA,0.0333302885073291
"444",NA,0.0354693276501405
"445",NA,0.0397079741909068
"446",NA,0.22217468172404
"447",NA,0.236635118723112
"448",NA,0.225945964939621
"449",NA,0.214243845479722
"450",NA,0.21361871132178
"451",NA,0.189148160473862
"452",NA,0.18332733768713
"453",NA,0.176160546076747
"454",NA,0.189275167894687
"455",NA,0.210755788044339
"456",NA,0.175510059551584
"457",NA,0.0327855668101825
"458",NA,0.0310367121520854
"459",NA,0.0242646900060944
"460",NA,0.00825379315901911
"461",NA,0.0301043714074832
"462",NA,0.0301043714074832
"463",NA,0.0301043714074832
"464",NA,0.0301043714074832
"465",NA,0.0301043714074832
"466",NA,0.0301043714074832
"467",NA,0.0301043714112791
"468",NA,0.0320363807548015
"469",NA,0.0358647841517989
"470",NA,0.200671204371138
"471",NA,0.213732068398574
"472",NA,0.204077478835099
"473",NA,0.193507964849569
"474",NA,0.192943335147416
"475",NA,0.170841199691783
"476",NA,0.165583753118751
"477",NA,0.159110609136852
"478",NA,0.17095591452744
"479",NA,0.190357503775236
"480",NA,0.158523080830661
"481",NA,0.0296123713410403
"482",NA,0.0280327819486435
"483",NA,0.0219161991340817
"484",NA,0.00745493861405813
"485",NA,0.0318823910966504
"486",NA,0.0318823910966504
"487",NA,0.0318823910966504
"488",NA,0.0318823910966504
"489",NA,0.0318823910966504
"490",NA,0.0318823910966504
"491",NA,0.0318823911006704
"492",NA,0.0339285084787351
"493",NA,0.0379830244401106
"494",NA,0.212523215748199
"495",NA,0.226355478489928
"496",NA,0.216130671063328
"497",NA,0.204936902091144
"498",NA,0.204338924317579
"499",NA,0.180931395984585
"500",NA,0.175363434921978
"501",NA,0.168507975119733
"502",NA,0.181052886089975
"503",NA,0.201600368976166
"504",NA,0.167885746308349
"505",NA,0.0313613325990127
"506",NA,0.0296884497442657
"507",NA,0.0232106102694166
"508",NA,0.00789524103585303
"509",NA,0.0323026025655949
"510",NA,0.0323026025655949
"511",NA,0.0323026025655949
"512",NA,0.0323026025655949
"513",NA,0.0323026025655949
"514",NA,0.0323026025655949
"515",NA,0.0323026025696679
"516",NA,0.0343756878745252
"517",NA,0.0384836425539324
"518",NA,0.215324282092427
"519",NA,0.229338854731426
"520",NA,0.218979283844476
"521",NA,0.207637980451534
"522",NA,0.207032121301762
"523",NA,0.183316080604205
"524",NA,0.177674733543349
"525",NA,0.170728918446702
"526",NA,0.183439171955106
"527",NA,0.204257471667443
"528",NA,0.17009848862925
"529",NA,0.0317746764915563
"530",NA,0.0300797449592294
"531",NA,0.0235165272443023
"532",NA,0.00799930069760453
"533",NA,0.031650486569721
"534",NA,0.031650486569721
"535",NA,0.031650486569721
"536",NA,0.031650486569721
"537",NA,0.031650486569721
"538",NA,0.031650486569721
"539",NA,0.0316504865737118
"540",NA,0.0336817210064803
"541",NA,0.0377067454343287
"542",NA,0.210977375109704
"543",NA,0.224709025436958
"544",NA,0.214558590698466
"545",NA,0.203446242397969
"546",NA,0.202852614164947
"547",NA,0.179615346329926
"548",NA,0.174087885221423
"549",NA,0.167282290316623
"550",NA,0.179735952746719
"551",NA,0.200133978389134
"552",NA,0.166664587441758
"553",NA,0.0311332181210803
"554",NA,0.0294725033971947
"555",NA,0.0230417821041151
"556",NA,0.00783781303015977
"557",NA,0.0303536511501211
"558",NA,0.0303536511501211
"559",NA,0.0303536511501211
"560",NA,0.0303536511501211
"561",NA,0.0303536511501211
"562",NA,0.0303536511501211
"563",NA,0.0303536511539483
"564",NA,0.0323016585326202
"565",NA,0.0361617630869213
"566",NA,0.202332865579849
"567",NA,0.215501880306708
"568",NA,0.20576734575554
"569",NA,0.195110310735592
"570",NA,0.194541005607902
"571",NA,0.172255853056063
"572",NA,0.166954872110201
"573",NA,0.16042812715308
"574",NA,0.172371517789803
"575",NA,0.191933762216509
"576",NA,0.159835733809086
"577",NA,0.0298575770690349
"578",NA,0.0282649078606911
"579",NA,0.0220976765815193
"580",NA,0.00751666935588095
"581",NA,0.0312647013282895
"582",NA,0.0312647013282895
"583",NA,0.0312647013282895
"584",NA,0.0312647013282895
"585",NA,0.0312647013282895
"586",NA,0.0312647013282895
"587",NA,0.0312647013322317
"588",NA,0.0332711772114682
"589",NA,0.0372471409394995
"590",NA,0.208405788811528
"591",NA,0.221970065154655
"592",NA,0.211943353250806
"593",NA,0.200966452472183
"594",NA,0.200380059926066
"595",NA,0.177426029284324
"596",NA,0.171965941955796
"597",NA,0.165243299901267
"598",NA,0.17754516563918
"599",NA,0.197694561383604
"600",NA,0.164633126157184
"601",NA,0.0307537378232681
"602",NA,0.0291132654179102
"603",NA,0.0227609276707254
"604",NA,0.00774227855597486
"605",NA,0.0326890472545251
"606",NA,0.0326890472545251
"607",NA,0.0326890472545251
"608",NA,0.0326890472545251
"609",NA,0.0326890472545251
"610",NA,0.0326890472545251
"611",NA,0.0326890472586468
"612",NA,0.0347869334384223
"613",NA,0.0389440326802529
"614",NA,0.217900264168279
"615",NA,0.232082496894509
"616",NA,0.221598991685526
"617",NA,0.21012200924156
"618",NA,0.209508902036458
"619",NA,0.18550913999009
"620",NA,0.179800303982929
"621",NA,0.172771394239373
"622",NA,0.1856337039158
