"","V1","M01AB","M01AE","N02BA","N02BE","N05B","N05C","R03","R06"
"4410",NA,0.34215726700014,0.256441848414083,0.230243316347387,1.67299392563196,0.851493029454238,0.0990877606960471,0.602178642580662,0.132530614838572
"4411",NA,0.381316440540587,0.292894545975524,0.245901728491137,1.59818502521892,0.676803296491348,0.0418153174078883,0.600702817368792,0.160984861701547
"4412",NA,0.332519833899388,0.266600563665642,0.245074842106085,1.59904872367824,0.59907984216939,0.0879921692955731,0.669010583968517,0.20172145658708
"4413",NA,0.363283782178361,0.244796945028203,0.26316836270527,1.73952464142919,0.652784056675477,0.0360057407129755,0.46131695091066,0.128306757664638
"4414",NA,0.372387998648431,0.279454992261684,0.221582143413288,1.64559990862319,0.592007579266484,0.0736230546506872,0.555096629765641,0.167826520758785
"4415",NA,0.39377091446976,0.275716179155431,0.253787207398116,2.04167773396496,0.594043579900397,0.0545705818797453,0.708338206708023,0.20242762867837
"4416",NA,0.402413980220828,0.315625755115412,0.183479753560471,2.41819065127718,0.59782047595149,0.115328282438285,0.661669056247969,0.152995277873018
"4417",NA,0.0744093339184596,0.0675313122814536,0.0477162165459364,0.611219066022952,0.103673160018013,0.00903152905131402,0.141335468579231,0.0456256992845696
"4418",NA,0.0782629605713393,0.0611260420571012,0.0418082536663953,0.503697851368538,0.0906556223007759,0.0161516133498301,0.158984964577161,0.0393678458017271
"4419",NA,0.051810963159377,0.0246107633624377,-0.00442451774051354,0.157883615628867,0.0324652000801196,0.0126164762225684,0.0620813073960078,0.0652240960190453
"4420",NA,0.082467305296678,0.038815932457587,0.00900887439011849,0.463258985734664,-0.0228037296877532,0.0126089153124265,0.124104411955403,0.173548936868696
"4421",NA,0.0823278426551721,0.0382642121323215,0.0197174975778891,0.497701224759738,0.0575968026481608,0.0114478100533276,0.133433446591359,0.173186425299033
"4422",NA,0.0823430284597373,0.0381626014694189,0.0197060356119535,0.498370828704099,0.0569336649210904,0.0114376852869766,0.133404798982664,0.173128640180061
"4423",NA,0.0822286035110396,0.0380748110666167,0.0197453294970483,0.498146900451089,0.0563023146705526,0.0114286065334357,0.133245631845319,0.173084932397536
"4424",NA,0.0821941892504083,0.0378790939209259,0.0198275133783017,0.498301376244692,0.0561542185640344,0.0114254525537765,0.133065954967954,0.173059877248279
"4425",NA,0.0821231759594283,0.0377984442301497,0.0198605693921231,0.498720025060187,0.0560091284698425,0.0114222985741169,0.132930301814238,0.173052799336087
"4426",NA,0.0820106106658859,0.037879080017272,0.0199231878435349,0.50033561305669,0.0556232700560844,0.0114147808691751,0.132927528666291,0.172996185537095
"4427",NA,92.9496006201785,2.54330594771782,2.3965121463206,-48.7826336444073,3.79503221278384,-0.658996941435484,25.1420407339773,-0.819875392738734
"4428",NA,0.0540277470520672,0.0408172240835321,0.0297387883423644,0.254784317208937,0.0366286652895288,0.014162109759018,0.088521449604888,0.0441489030921987
"4429",NA,0.0704891584663702,0.0569344203183735,0.0400261849509204,0.380836606125657,0.0911453505810634,0.00883015582484527,0.122706827172048,0.0464586715154264
"4430",NA,0.348975210922482,0.262725701739339,0.254875698052223,1.35042501546268,0.652030897221512,0.0804024299114381,0.596483653132687,0.171904855910791
"4431",NA,0.396461505260182,0.259997355335674,0.27094078792645,1.64583208326589,0.666461667903106,0.035415248017267,0.595717339279696,0.271522005052733
"4432",NA,0.379632891626176,0.298725924046269,0.259474456359053,1.64845734001167,0.75292108749635,0.0494573704219417,0.527286518171039,0.21207816607824
"4433",NA,0.3577044089321,0.291156707724476,0.239228408258216,1.86661826890772,0.700782322468749,0.004637864966382,0.592688317968566,0.147139071312707
"4434",NA,0.340355032242373,0.248264980570448,0.229446541807149,1.66489535528207,0.645905417362288,0.0951028573598556,0.535536419390932,0.108795726358627
"4435",NA,0.375802063676527,0.269372792669961,0.230331324392995,1.67067186944566,0.562085451666419,0.0539507237038372,0.815081944729822,0.155577588180776
"4436",NA,0.352437467256059,0.210075848775653,0.240366870204061,1.61021419403416,0.65942890253602,0.0514595402014929,0.540602362333319,0.175248798358461
