"","V1","M01AB"
"91",NA,0.565427340257763
"92",NA,0.411380041957393
"93",NA,0.345612904896817
"94",NA,0.471713735867634
"95",NA,0.51159134923206
"96",NA,0.243512012998471
"97",NA,0.0474923463824618
"98",NA,0.042896957672137
"99",NA,0.0311513765009353
"100",NA,0.0495810128699112
"101",NA,0.0541525702724012
"102",NA,0.0541525702724012
"103",NA,0.0541525702724012
"104",NA,0.0541525702724012
"105",NA,0.0541525702724012
"106",NA,0.0541525702724012
"107",NA,0.000250527057537715
"108",NA,0.0376815101918237
"109",NA,0.0468340270843262
"110",NA,0.536452416603876
"111",NA,0.528554463387505
"112",NA,0.591585340956722
"113",NA,0.505809617070381
"114",NA,0.477547735616512
"115",NA,0.617561885183412
"116",NA,0.449310841817841
"117",NA,0.377479725325085
"118",NA,0.515207531097674
"119",NA,0.558762011633976
"120",NA,0.265964744017485
"121",NA,0.0518713208143883
"122",NA,0.0468522198388235
"123",NA,0.0340236515432837
"124",NA,0.0541525702724012
"125",NA,0.0550531499749936
"126",NA,0.0550531499749936
"127",NA,0.0550531499749936
"128",NA,0.0550531499749936
"129",NA,0.0550531499749936
"130",NA,0.0550531499749936
"131",NA,0.000254693426406888
"132",NA,0.0383081693341522
"133",NA,0.0476128963784454
"134",NA,0.545373842777554
"135",NA,0.537344543323637
"136",NA,0.601423650527936
"137",NA,0.514221440779177
"138",NA,0.485489552515541
"139",NA,0.627832195458497
"140",NA,0.456783067462172
"141",NA,0.383757369711269
"142",NA,0.523775646014387
"143",NA,0.568054455625573
"144",NA,0.270387848015365
"145",NA,0.0527339623923802
"146",NA,0.0476313916859952
"147",NA,0.0345894789792452
"148",NA,0.0550531499749936
"149",NA,0.0478261859762926
"150",NA,0.0478261859762926
"151",NA,0.0478261859762926
"152",NA,0.0478261859762926
"153",NA,0.0478261859762926
"154",NA,0.0478261859762926
"155",NA,0.000221259186509907
"156",NA,0.0332793606145819
"157",NA,0.0413626329846668
"158",NA,0.473781261256299
"159",NA,0.46680598792286
"160",NA,0.522473271261591
"161",NA,0.446718312591974
"162",NA,0.421758130800907
"163",NA,0.545415100780628
"164",NA,0.396820017477479
"165",NA,0.333380584797067
"166",NA,0.45501831353002
"167",NA,0.493484533614344
"168",NA,0.234893362337781
"169",NA,0.0458114439190195
"170",NA,0.0413787003671683
"171",NA,0.0300488319966406
"172",NA,0.0478261859762926
"173",NA,0.0469572710297275
"174",NA,0.0469572710297275
"175",NA,0.0469572710297275
"176",NA,0.0469572710297275
"177",NA,0.0469572710297275
"178",NA,0.0469572710297275
"179",NA,0.000217239308898956
"180",NA,0.032674735067722
"181",NA,0.0406111490581108
"182",NA,0.465173516128721
"183",NA,0.458324970844615
"184",NA,0.512980880737182
"185",NA,0.43860225209516
"186",NA,0.414095551479405
"187",NA,0.535505898876351
"188",NA,0.389610518387309
"189",NA,0.327323664992331
"190",NA,0.44675145708901
"191",NA,0.484518815809275
"192",NA,0.230625776511778
"193",NA,0.0449791331768521
"194",NA,0.0406269245254507
"195",NA,0.0295028992881105
"196",NA,0.0469572710297275
"197",NA,0.045895502220102
"198",NA,0.045895502220102
"199",NA,0.045895502220102
"200",NA,0.045895502220102
"201",NA,0.045895502220102
"202",NA,0.045895502220102
"203",NA,0.00021232722782279
"204",NA,0.03193591413974
"205",NA,0.0396928748388603
"206",NA,0.454655299893867
"207",NA,0.447961609685759
"208",NA,0.501381673901756
"209",NA,0.428684848871038
"210",NA,0.404732278633179
"211",NA,0.523397370243215
"212",NA,0.380800885986316
"213",NA,0.319922424449175
"214",NA,0.436649789074879
"215",NA,0.473563175606562
"216",NA,0.225411008898028
"217",NA,0.0439620927985699
"218",NA,0.0397082936010764
